==========
Args:Namespace(arch='mub', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.1, gpu_devices='0,1', height=256, lr=0.0003, max_epoch=60, optim='adam', print_freq=10, resume='', root='data', save_dir='log/resnet50-xent-mub-market1501', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0,1
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: mub
Model size: 31.40421M
==> Start training
Epoch: [3][50/404]	Time 0.433 (0.452)	Data 0.282 (0.301)	Loss 37.4150 (37.7851)	
Epoch: [3][60/404]	Time 0.447 (0.457)	Data 0.290 (0.305)	Loss 36.6770 (37.6177)	
Epoch: [3][70/404]	Time 0.319 (0.461)	Data 0.170 (0.309)	Loss 37.7887 (37.6511)	
Epoch: [3][80/404]	Time 0.483 (0.459)	Data 0.338 (0.308)	Loss 37.8049 (37.6547)	
Epoch: [3][90/404]	Time 0.456 (0.461)	Data 0.308 (0.309)	Loss 36.3398 (37.5681)	
Epoch: [3][100/404]	Time 0.536 (0.462)	Data 0.381 (0.310)	Loss 36.9070 (37.5384)	
Epoch: [3][110/404]	Time 0.481 (0.461)	Data 0.328 (0.309)	Loss 36.9329 (37.4742)	
Epoch: [3][120/404]	Time 0.394 (0.462)	Data 0.232 (0.310)	Loss 37.4313 (37.4114)	
Epoch: [3][130/404]	Time 0.517 (0.463)	Data 0.369 (0.311)	Loss 34.9551 (37.3380)	
Epoch: [3][140/404]	Time 0.470 (0.463)	Data 0.325 (0.312)	Loss 36.1716 (37.3527)	
Epoch: [3][150/404]	Time 0.413 (0.465)	Data 0.267 (0.313)	Loss 34.6261 (37.2337)	
Epoch: [3][160/404]	Time 0.698 (0.467)	Data 0.552 (0.315)	Loss 35.6613 (37.1371)	
Epoch: [3][170/404]	Time 0.702 (0.476)	Data 0.547 (0.324)	Loss 34.4685 (37.0398)	
Epoch: [3][180/404]	Time 0.404 (0.486)	Data 0.257 (0.335)	Loss 35.2229 (36.9568)	
Epoch: [3][190/404]	Time 0.559 (0.495)	Data 0.418 (0.344)	Loss 34.7493 (36.8980)	
Epoch: [3][200/404]	Time 0.606 (0.504)	Data 0.461 (0.352)	Loss 36.0123 (36.8666)	
Epoch: [3][210/404]	Time 0.681 (0.510)	Data 0.525 (0.359)	Loss 35.5667 (36.8100)	
Epoch: [3][220/404]	Time 0.607 (0.517)	Data 0.465 (0.366)	Loss 37.0499 (36.7309)	
Epoch: [3][230/404]	Time 0.708 (0.525)	Data 0.561 (0.374)	Loss 38.9384 (36.6771)	
Epoch: [3][240/404]	Time 0.662 (0.531)	Data 0.521 (0.379)	Loss 34.6042 (36.6095)	
Epoch: [3][250/404]	Time 0.614 (0.534)	Data 0.465 (0.383)	Loss 35.1876 (36.5524)	
Epoch: [3][260/404]	Time 0.779 (0.538)	Data 0.604 (0.387)	Loss 34.6062 (36.4732)	
Epoch: [3][270/404]	Time 0.673 (0.540)	Data 0.484 (0.389)	Loss 34.9336 (36.4087)	
Epoch: [3][280/404]	Time 0.523 (0.540)	Data 0.356 (0.388)	Loss 34.7204 (36.3426)	
Epoch: [3][290/404]	Time 0.638 (0.541)	Data 0.483 (0.388)	Loss 34.9834 (36.2533)	
Epoch: [3][300/404]	Time 0.683 (0.542)	Data 0.530 (0.390)	Loss 35.4036 (36.2167)	
Epoch: [3][310/404]	Time 0.407 (0.542)	Data 0.235 (0.389)	Loss 35.0451 (36.1396)	
Epoch: [3][320/404]	Time 0.521 (0.539)	Data 0.373 (0.386)	Loss 33.5325 (36.1015)	
Epoch: [3][330/404]	Time 0.527 (0.539)	Data 0.367 (0.385)	Loss 34.1463 (36.0164)	
Epoch: [3][340/404]	Time 0.510 (0.536)	Data 0.359 (0.382)	Loss 33.5003 (35.9496)	
Epoch: [3][350/404]	Time 0.541 (0.534)	Data 0.386 (0.381)	Loss 34.3939 (35.9115)	
Epoch: [3][360/404]	Time 0.597 (0.534)	Data 0.439 (0.380)	Loss 35.6840 (35.8680)	
Epoch: [3][370/404]	Time 0.550 (0.533)	Data 0.399 (0.379)	Loss 34.8305 (35.8171)	
Epoch: [3][380/404]	Time 0.570 (0.533)	Data 0.407 (0.379)	Loss 33.9832 (35.7740)	
Epoch: [3][390/404]	Time 0.525 (0.532)	Data 0.379 (0.377)	Loss 34.8672 (35.7320)	
Epoch: [3][400/404]	Time 0.537 (0.531)	Data 0.350 (0.376)	Loss 34.4545 (35.6861)	
Epoch: [4][10/404]	Time 0.474 (0.422)	Data 0.324 (0.269)	Loss 31.3456 (32.3065)	
Epoch: [4][20/404]	Time 0.512 (0.471)	Data 0.364 (0.311)	Loss 32.6032 (32.6207)	
Epoch: [4][30/404]	Time 0.733 (0.506)	Data 0.541 (0.345)	Loss 33.7782 (32.5931)	
Epoch: [4][40/404]	Time 0.625 (0.513)	Data 0.471 (0.353)	Loss 31.0922 (32.3126)	
